Camera,Megapixels,Optical Image Stabilization,Autofocus,Depth Sensor,High Dynamic Range,Flash,Aperture,Battery Consumption,Security
Samsung Galaxy A72 main 1,64,1,1,0,1,1,1.8,10,6
Samsung Galaxy A72 main 2,8,1,0,0,1,1,2.4,1,3
Samsung Galaxy A72 main 3,12,0,0,0,1,1,2.2,1,4
Samsung Galaxy A72 main 4,5,0,0,0,1,1,2.4,5,2
Samsung Galaxy A72 selfie,32,0,0,0,1,0,2.2,7,2
Samsung Galaxy Xcover 5 main,16,0,1,0,1,1,1.8,8,1
Samsung Galaxy Xcover 5 selfie,5,0,0,0,0,0,2.2,10,10
Samsung Galaxy M62 main 1,64,0,1,0,1,1,1.8,7,5
Samsung Galaxy M62 main 2,12,0,0,0,1,1,2.2,5,3
Samsung Galaxy M62 main 3,5,0,0,0,1,1,2.4,5,2
Samsung Galaxy M62 main 4,5,0,0,1,1,1,2.4,3,7
Samsung Galaxy M62 selfie,32,0,0,0,1,0,2.2,9,4
Samsung Galaxy S21 Ultra 5G main 1,108,1,1,0,1,1,1.8,7,1
Samsung Galaxy S21 Ultra 5G main 2,10,1,1,0,1,1,4.9,7,3
Samsung Galaxy S21 Ultra 5G main 3,10,1,1,0,1,1,2.4,6,3
Samsung Galaxy S21 Ultra 5G main 4,12,0,1,0,1,1,2.2,8,8
Samsung Galaxy S21 Ultra 5G selfie,40,0,0,0,1,0,2.2,2,7
Samsung Galaxy M02s main 1,12,0,1,0,0,1,2.2,5,8
Samsung Galaxy M02s main 2,2,0,0,0,0,1,2.4,3,7
Samsung Galaxy M02s main 3,2,0,0,1,0,1,2.4,2,4
Samsung Galaxy M02s selfie,5,0,0,0,0,0,2.2,1,9
Samsung Galaxy F41 main 1,64,0,1,0,1,1,1.8,9,3
Samsung Galaxy F41 main 2,8,0,0,0,1,1,2.2,4,2
Samsung Galaxy F41 main 3,5,0,0,1,1,1,2.4,4,5
Samsung Galaxy F41 selfie,32,0,0,0,1,0,2,1,8
Samsung Galaxy Tab Active3 main,13,0,1,0,1,1,1.9,3,8
Samsung Galaxy Tab Active3 selfie,5,0,0,0,0,0,2.2,5,5
Samsung Galaxy S20 FE 5G main 1,12,1,1,0,1,1,1.8,5,3
Samsung Galaxy S20 FE 5G main 2,8,0,1,0,1,1,2.4,5,8
Samsung Galaxy S20 FE 5G main 3,12,0,0,0,1,1,2.2,5,4
Samsung Galaxy S20 FE 5G selfie,32,0,0,0,1,0,2.2,7,5
Samsung Galaxy Z Fold2 5G main 1,12,1,1,0,1,1,1.8,2,10
Samsung Galaxy Z Fold2 5G main 2,12,1,1,0,1,1,2.4,8,3
Samsung Galaxy Z Fold2 5G main 3,12,0,0,0,1,1,2.2,5,10
Samsung Galaxy Z Fold2 5G selfie 1,10,0,0,0,1,0,2.2,5,10
Samsung Galaxy Z Fold2 5G selfie 2,10,0,0,0,1,0,2.2,7,6
Samsung Galaxy Note 20 Ultra main 1,108,1,1,0,1,1,1.8,2,3
Samsung Galaxy Note 20 Ultra main 2,12,1,1,0,1,1,3,3,7
Samsung Galaxy Note 20 Ultra main 3,12,0,0,0,1,1,2.2,3,9
Samsung Galaxy Note 20 Ultra selfie,10,0,1,0,1,0,2.2,5,6
Apple iPhone 12 Pro Max main 1,12,1,1,1,1,1,1.6,3,8
Apple iPhone 12 Pro Max main 2,12,1,1,1,1,1,2.2,7,6
Apple iPhone 12 Pro Max main 3,12,0,0,1,1,1,2.4,8,7
Apple iPhone 12 Pro Max selfie,12,0,0,1,1,0,2.2,7,7
Apple iPad Air 2020 main ,12,0,1,0,1,0,1.8,2,6
Apple iPad Air 2020 selfie,7,0,0,0,1,0,2,4,3
Apple iPhone SE 2020 main,12,1,1,0,1,1,1.8,5,3
Apple iPhone SE 2020 selfie,7,0,0,0,1,0,2.2,1,4
Apple iPad pro 12.9 main 1,12,0,1,1,1,1,1.8,9,9
Apple iPad pro 12.9 main 2,12,0,0,1,1,1,2.4,4,2
Apple iPad pro 12.9 selfie ,7,0,0,0,1,0,2.2,8,10
Apple iPhone 11 Pro Max main 1,12,1,1,0,1,1,1.8,1,5
Apple iPhone 11 Pro Max main 2,12,1,1,0,1,1,2,3,7
Apple iPhone 11 Pro Max main 3,12,0,0,0,1,1,2.4,9,5
Apple iPhone 11 Pro Max selfie,12,0,0,0,1,0,2.2,1,6
Apple iPad Air 2019 main,8,0,1,0,1,0,2.4,4,1
