Noise,Security,Accuracy,Battery Consumption
7,7,297,7
8,3,496,10
8,10,455,9
5,9,62,4
6,7,451,5
3,7,309,5
3,9,103,5
8,3,235,9
7,2,456,5
9,10,350,3
7,1,200,4
9,5,423,2
1,7,330,5
5,9,354,1
4,10,399,1
9,9,344,10
9,9,339,1
2,4,366,9
6,3,331,10
7,8,446,4
2,1,455,6
4,1,452,10
9,3,209,9
3,8,254,10
10,6,204,7
10,2,233,1
5,6,487,6
6,3,158,7
7,4,358,7
5,9,227,4
8,4,65,5
8,2,481,3
1,8,107,7
7,9,393,7
6,7,113,8
8,8,114,4
3,1,446,8
1,7,481,10
3,3,39,5
2,3,358,3
4,5,255,8
4,7,202,10
3,4,476,3
1,6,83,7
2,4,433,5
6,8,389,10
5,4,446,3
6,7,435,10
2,10,304,4
10,8,184,4
3,4,133,10
6,6,498,4
9,9,140,7
9,9,374,5
10,10,428,6
6,10,420,10
7,5,444,3
9,4,224,8
1,5,108,9
4,7,235,3
5,4,477,1
2,8,275,4
10,6,492,6
4,3,397,9
3,8,202,9
5,8,27,6
4,5,67,4
3,8,132,9
5,5,324,10
7,10,372,5
5,3,68,7
1,6,142,3
1,2,6,3
10,9,124,3
2,3,386,6
8,9,104,6
3,5,245,1
4,4,466,2
8,6,41,10
4,4,446,3
3,4,492,9
1,8,138,5
8,9,49,6
5,10,236,5
9,7,195,4
4,1,5,5
4,7,141,4
7,7,51,3
1,5,458,9
5,10,418,7
2,4,265,3
3,8,279,4
9,6,8,9
1,5,84,1
8,9,45,3
1,5,245,7
6,6,354,10
2,7,97,6
3,1,180,8
6,10,120,3
8,10,169,7
5,7,321,10
1,3,18,1
1,2,486,8
3,2,415,3
7,7,476,6
3,4,194,6
9,2,171,2
6,4,273,7
3,8,45,3
8,3,337,4
3,6,450,1
6,1,54,6
9,5,421,6
3,8,276,4
7,7,259,1
7,7,33,4
1,8,265,9
6,5,181,4
2,9,372,8
3,7,169,2
5,4,358,6
10,10,213,3
4,9,125,10
5,4,339,2
7,1,251,7
3,8,104,8
2,3,37,3
1,1,463,5
3,4,427,1
9,10,172,9
3,3,253,4
10,9,202,9
2,2,357,9
10,4,372,1
6,8,121,9
2,2,58,10
2,10,267,4
5,5,114,9
5,6,421,2
5,4,367,7
2,3,253,9
5,5,289,5
4,4,59,5
9,1,319,4
10,3,195,9
9,8,434,7
6,3,270,2
8,10,233,10
1,7,493,10
8,3,432,2
4,9,453,7
5,8,255,2
7,3,312,10
9,8,287,8
4,5,102,4
6,3,267,1
9,9,82,2
9,2,344,1
3,4,478,6
