Detection Range,Noise,Security,Accuracy,Battery Consumption,OtherRadarsPresent
115,5,9,6,5,1
47,3,3,2,1,1
411,10,1,10,8,0
178,6,2,7,4,0
303,3,8,8,4,1
528,6,1,8,2,0
335,5,9,3,7,0
84,6,4,7,3,1
461,8,10,10,10,1
568,3,7,9,5,0
112,7,1,4,2,1
391,4,10,10,10,1
360,2,1,10,7,0
86,5,9,9,1,1
167,1,1,6,5,0
349,4,10,4,8,1
125,10,6,5,5,1
451,4,8,7,10,0
484,5,2,4,2,1
105,1,8,5,6,0
510,2,4,3,3,1
310,5,6,5,7,1
495,10,4,4,9,0
28,8,5,4,9,1
33,4,5,5,10,0
133,6,9,10,6,1
310,9,3,8,2,1
67,6,10,7,1,1
180,5,10,5,8,1
557,8,9,5,9,0
344,4,8,3,8,0
388,8,8,6,10,1
435,8,5,4,2,1
82,8,10,2,7,1
395,7,10,8,10,1
227,5,4,9,8,1
235,1,3,8,3,1
458,7,2,4,7,0
56,4,5,8,4,0
35,3,3,10,4,0
440,4,6,3,1,1
166,6,6,9,7,0
294,3,1,10,10,1
346,9,9,8,4,0
232,2,1,2,8,0
228,3,8,7,9,0
589,8,5,7,9,1
468,2,1,9,6,1
580,9,2,8,4,1
331,8,6,8,7,1
371,3,1,7,10,1
519,10,1,2,3,1
294,5,3,3,6,1
597,6,6,1,4,1
395,10,10,5,5,0
207,6,8,9,3,1
18,8,2,6,6,1
25,8,3,2,7,0
101,7,8,4,2,0
118,6,8,2,1,0
312,2,10,3,5,0
204,7,2,1,4,1
52,7,10,3,10,1
189,3,1,6,8,0
22,3,3,2,7,0
360,9,8,9,2,0
394,6,1,3,2,0
553,10,8,3,7,1
581,3,5,3,6,1
169,4,3,5,4,0
93,1,10,1,3,1
369,9,5,4,6,1
551,6,6,10,10,1
503,3,9,7,6,1
429,7,3,1,6,1
281,4,8,2,6,0
93,8,4,4,8,1
407,3,8,3,4,0
353,2,2,7,2,0
216,2,3,7,1,1
538,4,2,10,6,0
386,6,8,5,4,1
556,4,1,1,8,0
414,3,8,3,1,0
74,7,9,5,3,1
202,3,8,8,7,1
566,3,5,2,2,0
54,10,3,9,7,1
544,5,5,3,6,0
273,2,7,3,7,1
470,7,1,7,2,1
598,1,1,1,3,0
236,1,4,7,8,0
584,1,8,5,10,1
598,4,1,7,9,0
354,5,10,9,5,1
272,6,3,5,1,1
305,10,2,4,7,1
133,10,6,2,1,1
311,9,1,1,7,0
400,9,3,1,7,0
185,7,5,6,1,0
403,8,9,7,8,1
408,8,5,4,9,1
34,4,1,2,3,0
100,1,4,1,2,1
591,5,9,8,6,0
253,7,7,10,9,0
259,5,4,4,1,0
280,4,7,3,5,0
581,6,8,8,10,0
134,2,5,1,3,1
233,3,9,1,6,1
274,1,6,4,9,1
226,3,4,9,2,1
112,7,2,1,3,1
54,10,9,8,7,1
99,8,8,4,5,1
415,3,10,2,10,0
181,5,6,9,2,0
121,9,1,4,5,1
458,4,8,9,3,1
383,7,8,10,4,1
23,10,2,1,9,0
449,5,7,4,1,1
152,2,10,4,9,0
315,5,3,1,4,1
342,10,9,8,3,1
417,3,1,9,9,1
294,7,3,5,10,1
377,7,3,3,8,0
173,5,2,2,5,1
583,2,6,10,10,1
260,9,3,9,1,1
343,7,7,1,7,0
591,7,10,4,5,0
241,7,2,6,2,0
116,5,10,1,7,1
198,1,7,2,8,1
88,7,4,2,8,0
144,9,9,1,4,0
409,1,5,5,4,1
46,5,1,1,9,0
414,9,5,5,5,1
48,1,5,5,7,1
482,4,5,8,7,0
367,5,8,5,6,1
132,8,1,9,5,1
561,10,1,10,7,0
180,3,1,9,9,0
560,7,3,6,1,1
347,6,5,2,2,0
352,3,9,9,3,1
521,5,2,2,6,1
508,4,7,4,2,1
517,1,3,7,9,1
233,8,1,10,10,1
504,7,4,10,8,1
494,9,9,8,10,1
78,10,9,6,2,0
37,9,4,2,4,1
246,10,4,7,4,1
457,7,9,7,2,1
129,4,10,6,4,0
435,5,7,9,7,0
417,10,4,6,1,0
20,5,8,1,1,0
534,2,6,1,1,0
452,5,10,5,1,1
220,7,6,10,6,1
212,9,5,9,1,0
204,1,9,4,4,0
288,8,6,7,5,0
221,6,4,6,7,1
